kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
袷,88b7,1-16-33,,,145,,11,,,jia2;qia1;geob;gyeob;겁;겹;Giáp;Kiếp;Khiếp;コウ;キョウ;あわせ,lined (kimono),
安,5b89,1-16-34,,,40,3,6,144,4,an1;an;안;An;アン;やす.い;やす.まる;やす;やす.らか,relax;cheap;low;quiet;rested;contented;peaceful;paisible;calme;tranquille;pas cher;reposant;satisfait;barato;tranquilo;pacífico;relaxar;calmo;baixo;barato;descansado;pacífico;satisfeito,あ;あす;あず;あっ;や
庵,5eb5,1-16-35,,,53,9,11,2119,,an1;am;암;Am;アン;いおり;いお,hermitage;retreat;retiro;cabaña;ermita;ermita (de paja),あ;い;いほり
按,6309,1-16-36,,,64,9,9,,,an4;an;al;안;알;Án;アン;おさ.える;しら.べる,hold;consider;investigate,
暗,6697,1-16-37,,,72,3,13,1040,3,an4;am;암;Ám;アン;くら.い;くら.む;くれ.る,darkness;disappear;shade;informal;grow dark;be blinded;obscurité;disparaître;ombre;informel;s'assombrir;être aveuglé;oscuro;poco claro;memorizar;sombrío;escuridão;desaparecer;sombra;informal;escurecer;cegar,
案,6848,1-16-38,,,75;40,4,10,206,2,an4;an;안;Án;アン;つくえ,plan;suggestion;draft;ponder;fear;proposition;idea;expectation;worry;table;bench;plan;suggestion;projet (loi);réflexion;peur;proposition;idée;attente;plan;idea;sugerencia;borrador;plano;sugestão;esboço;ponderar;medo;proposição;idéia;expectativa;conta;preocupar,
闇,95c7,1-16-39,,,169,8,17,1969,,an4;am;암;Ám;アン;オン;やみ;くら.い,get dark;gloom;disorder;oscuro;sombrío;poco claro;sin esperanza;confuso,
鞍,978d,1-16-40,,,177,9,15,2214,,an1;an;안;An;アン;くら,saddle;silla de montar,
杏,674f,1-16-41,,,75,9,7,2159,1,xing4;haeng;행;Hạnh;キョウ;アン;コウ;あんず,apricot;abricot;albaricoque,りょう
以,4ee5,1-16-42,,,9,4,5,126,3,yi3;i;이;Dĩ;イ;もっ.て,by means of;because;in view of;compared with;au moyen de;parce que;en vue de;comparé à;además de;más que;Por meios de;porque;em visão de;comparada com,もち
伊,4f0a,1-16-43,,,9,9,6,703,1,yi1;i;이;Y;イ;かれ,Italy;that one;Italie;celui-là;I fonética;Italia;ese;aquel,これ;ただ;よし;いと;だ
位,4f4d,1-16-44,,,9,4,7,276,2,wei4;wi;위;Vị;イ;くらい;ぐらい,rank;grade;throne;crown;about;some;rang;position;grade;trône;couronne;à peu près;grado;posición;aproximadamente;trono;posição;grau;trono;coroa;sobre;alguma,ぞき
依,4f9d,1-16-45,,,9,8,8,906,2,yi1;eui;의;Y;Ỷ;イ;エ;よ.る,reliant;depend on;consequently;therefore;due to;dépendant;par conséquent;donc;dû à;confiar en;depender de;estar basado en;confiante;contar com;consequentemente;portanto;devido para,よ;より
偉,5049,1-16-46,,,9,8,12,1639,2,wei3;wi;위;Vĩ;イ;えら.い,admirable;greatness;remarkable;conceited;famous;excellent;admirable;grandeur;remarquable;vaniteux;célèbre;excellent;admirable;notable;excelente;admirável;grandeza;notável;conceituado;excelente;famoso,ひで
囲,56f2,1-16-47,,,31,5,7,771,2,wei2;wi;위;Vi;イ;かこ.む;かこ.う;かこ.い,surround;besiege;store;paling;enclosure;encircle;preserve;keep;entourer;assiéger;enceinte;palissade;encercler;réserve;garder;circunferencia;rodear;cercar;circundar;sitiar;loja;paliçada;cerca;preservar;guardar,
夷,5937,1-16-48,,,37;4,9,6,2324,,yi2;i;이;Di;イ;えびす;えみし;ころ.す;たい.らげる,barbarian;savage;Ainu;bárbaro;salvaje,し
委,59d4,1-16-49,,,38;115,3,8,187,2,wei3;wei1;wi;위;Ủy;Uy;イ;ゆだ.ねる,committee;entrust to;leave to;devote;discard;comité;confier à;laisser à;se consacrer;abandonner;confiar;confianza;detallado;comitê;confiar a;deixar para;dedicar;descartar,まかせ
威,5a01,1-16-50,,,38;62,8,9,1103,1,wei1;wi;위;Uy;イ;おど.す;おど.し;おど.かす,intimidate;dignity;majesty;menace;threaten;intimidant;dignité;majesté;menacer;dignidad;majestad;amenazar;intimidar;fuerza;intimidar;dignidade;majestade;ameaça;ameaçar,いさ;たけ;たけし
尉,5c09,1-16-51,,,41;4,8,11,2007,1,wei4;yu4;wi;ul;위;울;Úy;Uất;イ;ジョウ,military officer;jailer;old man;rank;officier;geôlier;vieil homme;rang;oficial militar;carcelero;rango;viejo;oficial militar;carcereiro;velho;posição,
惟,60df,1-16-52,,,61,9,11,2246,1,wei2;yu;유;Duy;イ;ユイ;おも.んみる;これ;おも.うに,consider;reflect;think;este;simplemente;solamente;considerar;meditar;pensar;reflexionar,ただ;よし;のぶ
意,610f,1-16-53,,,61;180,3,13,99,3,yi4;eui;의;Ý;イ,idea;mind;heart;taste;thought;desire;care;liking;idée;esprit;coeur;pensée;attention;goût;désir;idea;sentimiento;razón;intención;idéia;mente;coração;gosto;pensamento;desejo;atenção,もと;よし
慰,6170,1-16-54,,,61,8,15,1158,1,wei4;wi;위;Úy;イ;なぐさ.める;なぐさ.む,consolation;amusement;seduce;cheer;make sport of;comfort;console;réconforter;divertissement;séduire;consoler;remonter;s'amuser de;consolar;confortar;aliviar;alegrar;consolo;divertimento;sedução;torce;levar na esportiva;conforto;consolar,
易,6613,1-16-55,,,72,5,8,571,2,yi4;yeog;i;역;이;Dịch;Dị;エキ;イ;やさ.しい;やす.い,easy;ready to;simple;fortune-telling;divination;facile;prêt-à-...;simple;voyance;divination;commerce;fácil;simple;cambio;intercambio;adivinación;sencillo;Fácil;ler a sorte;pronto para;simples;advinhação,
椅,6905,1-16-56,,,75,8,12,2245,,yi3;yi1;eui;의;Y;Ỷ;イ,chair;silla;asiento,
為,70ba,1-16-57,,,86;3,8,9,831,1,wei4;wei2;wi;위;Vi;イ;ため;な.る;な.す;す.る;たり;つく.る;なり,do;change;make;benefit;welfare;be of use;reach to;try;practice;cost;serve as;good;advantage;as a result of;faire;changer;bénéfice;bien-être;être utile;atteindre;essayer;s'entraîner;coûter;servir pour;bon;avantage;par suite de;hacer;ocurrir;razón;causa;mudança;benefício;bem-estar;é de uso;tentativa;prática;custo;servir para;bom;vantagem;como um resultado de,びい
畏,754f,1-16-58,,,102,8,9,2389,,wei4;oe;외;Úy;イ;おそ.れる;かしこま.る;かしこ;かしこ.し,fear;majestic;graciously;be apprehensive,
異,7570,1-16-59,,,102,6,11,631,2,yi4;i;이;Dị;イ;こと;こと.なる;け,uncommon;different;queerness;strangeness;wonderful;curious;unusual;inhabituel;bizarrerie;étrangeté;surprenant;curieux;extraordinaire;raro;extraño;inusual;diferente;incomum;esquisito;estranho;raro;curioso;maravilhoso,
移,79fb,1-16-60,,,115,5,11,448,2,yi2;i;이;Di;Dị;Sỉ;イ;うつ.る;うつ.す,"shift;move;change;drift;catch (cold, fire);pass into;déplacer;transporter;déménager;changer;inconstant;prendre (froid, feu);transférer;cambio de lugar;movimiento;traslado;mudarse;ser infectado;ser contagioso;trasladar;infectar;trocar;mover;mudança;rumo;pegar (fogo);passar (frio);passar",
維,7dad,1-16-61,,,120,8,14,643,1,wei2;yu;유;Duy;イ,fiber;tie;rope;fibre;cordon;corde;conservation;soga;cuerda;atar;énfasis;fibra;laço;corda,これ;たもつ;つぐ;ゆい;ゆき
緯,7def,1-16-62,,,120,8,16,1430,1,wei3;wi;위;Vĩ;イ;よこいと;ぬき,horizontal;woof;left & right;(parallels of) latitude;prediction;horizontal;trame (tissage);gauche et droite;latitude;latitud;paralelo de latitud;horizontal;trama;esquerda & direita;latitude,
胃,80c3,1-16-63,,,130;102,6,9,1647,2,wei4;wi;위;Vị;イ,stomach;paunch;crop;craw;estomac;ventre;jabot;estómago;barriga;estômago;barriga;colheita;papo de ave,
萎,840e,1-16-64,,,140,8,11,,,wei1;wei3;wi;위;Nuy;イ;な;しお.れる;しな.びる;しぼ.む;な.える,wither;droop;lame,
衣,8863,1-16-65,,,145,4,6,1214,2,yi1;yi4;eui;의;Y;Ý;イ;エ;ころも;きぬ;-ぎ,garment;clothes;dressing;vêtement;habillement;prenda;ropas;vestidos;vestuário;roupas;vestindo,
謂,8b02,1-16-66,,,149,9,16,,,wei4;wi;위;Vị;イ;い.う;いい;おも.う;いわゆる,reason;origin;history;oral tradition,
違,9055,1-16-67,,,162,8,13,344,2,wei2;wi;위;Vi;イ;ちが.う;ちが.い;ちが.える;-ちが.える;たが.う;たが.える,difference;differ;différence;différer;diferencia;diferir;violar;ser diferente;cambiar;alterar;diferença;diferir,
遺,907a,1-16-68,,,162,6,15,647,1,yi2;wei4;yu;유;Di;Dị;イ;ユイ;のこ.す,bequeath;leave behind;reserve;léguer;laisser derrière;garder;olvidar;dejar atrás;legar;dejar en herencia;legar;deixar para trás;reservar,
医,533b,1-16-69,,,23;22,3,7,437,3,yi1;ye;eui;예;의;Ế;Y;Ỷ;I;Ỉ;イ;い.やす;い.する;くすし,doctor;medicine;médecin;docteur;doctor;médico;medicina;curar;doutor;remédio,
井,4e95,1-16-70,,,7;4,4,4,339,1,jing3;jeong;정;Tỉnh;セイ;ショウ;い,well;well crib;town;community;puits;margelle;ville;communauté;pozo;ciudad;poço,いの;さい;ひ
亥,4ea5,1-16-71,,,8,9,6,,1,hai4;hae;해;Hợi;ガイ;カイ;い,sign of the hog;9-11PM;twelfth sign of the Chinese zodiac;signe de la 12ème branche terrestre;signe du Porc (zodiaque);21 à 23 h;signo del cerdo;doceavo signo del zodíaco,り
域,57df,1-16-72,,,32,6,11,396,2,yu4;yeog;역;Vực;イキ,range;region;limits;stage;level;zone;champ;région;limites;stade;niveau;rango;región;límite;série;região;limites;estágio;nível,
育,80b2,1-16-73,,,130;8,3,8,369,2,yu4;yug;육;Dục;イク;そだ.つ;そだ.ち;そだ.てる;はぐく.む,bring up;grow up;raise;rear;élever;grandir;educar;criar;ser educado;crecer;educar;crescer;levantar;elevar,やす
郁,90c1,1-16-74,,,163,9,9,1920,1,yu4;ug;욱;Úc;イク,cultural progress;perfume;aromático;oloroso,あや;かおる;い;か;ふみ;ゆう
磯,78ef,1-16-75,,,112,9,17,1444,1,ji1;gi;기;Ki;キ;いそ,seashore;beach;playa rocosa,し;そ
一,4e00,1-16-76,,,1,1,1,2,4,yi1;il;일;Nhất;イチ;イツ;ひと-;ひと.つ,one;one radical (no.1);un;radical un (no. 1);uno;1;um,かず;い;いっ;いる;かつ;かづ;てん;はじめ;ひ;ひとつ;まこと
壱,58f1,1-16-77,,,33;32,8,7,2351,1,yi1;il;일;Nhất;イチ;イツ;ひとつ,one (in documents);un (I);I;uno (para documentos legales);Um,い;かず
溢,6ea2,1-16-78,,,85,9,13,2405,,yi4;il;일;Dật;イツ;こぼ.れる;あふ.れる;み.ちる,overflow;inundate;spill,
逸,9038,1-16-79,,,162,8,11,1524,1,yi4;il;일;Dật;イツ;そ.れる;そ.らす;はぐ.れる,deviate;idleness;leisure;miss the mark;evade;elude;parry;diverge;dévier;oisiveté;loisirs;rater;s'évader;échapper à;s'écarter;parer;diverger;desviar;eludir;dejar pasar;excepcional;excelente;desocupación;ociosidad;desviar-se;indolência;lazer;perder o ponto;escapar;evitar;desviar um golpe;divergir,いっ;はや;へん
稲,7a32,1-16-80,,,115,8,14,1038,1,dao4;do;도;Đạo;トウ;テ;いね;いな-,rice plant;plant de riz;planta de arroz;planta de arroz,いの;しね;せ;な
茨,8328,1-16-81,,,140,4,9,1203,,ci2;ja;자;Tỳ;シ;ジ;いばら;かや;くさぶき,briar;thorn;épine;églantier;espina;zarza,あし;えばら;ばら;まつ;まん
芋,828b,1-16-82,,,140,8,6,2418,1,yu4;u;hu;우;후;Dụ;Hu;ウ;いも,potato;pomme de terre;patata;batata;batata,
鰯,9c2f,1-16-83,,,195,9,21,,,ruo4;yag;약;Nhược;いわし,sardine;(kokuji);sardina,
允,5141,1-16-84,,,10;28,9,4,2358,1,yun3;yun;윤;Duẫn;イン;じょう;まこと.に;ゆるす,license;sincerity;permit;licence;permis;sincérité;consentimiento;aprobación;antiguo cargo público,まこと;のぶ;まさ;みつ;すけ;よし;ちか;とも
印,5370,1-16-85,,,26;2,4,6,682,2,yin4;in;인;Ấn;イン;しるし;-じるし;しる.す,stamp;seal;mark;imprint;symbol;emblem;trademark;evidence;souvenir;India;tampon;sceau;impression;empreinte;symbole;emblème;marque;preuve;souvenir;Inde;estampa;sello;marca;signo;símbolo;selo;carimbo;marca;símbolo;emblema;marca registrada;evidência;lembrança;Índia,
咽,54bd,1-16-86,,,30,8,9,,,yan1;yan4;ye4;in;yeol;인;열;Yết;Yến;Ế;イン;エン;エツ;むせ.ぶ;むせ.る;のど;の.む,throat;choked;smothered;stuffy;garganta;sofoco;atragantamiento;asfixia,
