kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
細,7d30,1-26-57,,,120,2,11,537,2,xi4;se;세;Tế;サイ;ほそ.い;ほそ.る;こま.か;こま.かい,dainty;get thin;taper;slender;narrow;detailed;precise;menu;long et fin;délicat;mince;fluet;étroit;estrecho;fino;delgado;detallado;adelgazar;minucioso;franzino;emagrecer;afinar;delgado;estreito,
菜,83dc,1-26-58,,,140,4,11,1327,3,cai4;chae;채;Thái;サイ;な,vegetable;side dish;greens;légume;accompagnement (du riz);verduras;entremeses;vegetales;legume;salada;verduras,よう
裁,88c1,1-26-59,,,145;24,6,12,297,1,cai2;jae;재;Tài;サイ;た.つ;さば.く,tailor;judge;decision;cut out (pattern);tailleur;juge;tribunal;décision;tailler (un vêtement);cortar (tela;papel);juzgar;forma;decidir;alfaiate;juiz;decisão;paradigma,
載,8f09,1-26-60,,,159;24,8,13,825,1,zai4;zai3;jae;재;Tái;Tại;Tải;サイ;の.せる;の.る,ride;board;get on;place;spread;10**44;record;publish;charger;embarquer;monter dans;placer;étaler;10**44;poner sobre;llevar (en coche;etc.);salir en el periódico;un año;carga;multiplicação;força;10 elevado a 44,とし;のり
際,969b,1-26-61,,,170,5,14,183,2,ji4;je;제;Tế;サイ;きわ;-ぎわ,occasion;side;edge;verge;dangerous;adventurous;indecent;time;when;occasion;côté;accotement;bord;dangereux;aventureux;indécent;temps;quand;límite;frontera;asociación;unión;ocasión;ocasião;lado;margem;limite;indecente;ousado;perigoso;vez;quando,わ
剤,5264,1-26-62,,,18;210,8,10,1151,1,ji4;je;ja;제;자;Tề;ザイ;スイ;セイ;かる;けず.る,dose;medicine;drug;dose;médicament;drogue;produit pour...;medicina;droga;dose;remédio;droga,
在,5728,1-26-63,,,32,5,6,211,2,zai4;jae;재;Tại;ザイ;あ.る,exist;outskirts;suburbs;located in;exister;banlieue;situé à;existir;pueblo natal;alrededores;ser;existir;arredores;subúrbios;localizados em,あり
材,6750,1-26-64,,,75,4,7,565,2,cai2;jae;재;Tài;ザイ,lumber;log;timber;wood;materials;ingredients;talent;matériaux;ingrédients;bois de charpente;bille de bois;bûche;talent;talento;habilidad;material;leño;tábuas;registro;pau;madeira;talento,き;さい
罪,7f6a,1-26-65,,,122,5,13,732,2,zui4;joe;죄;Tội;ザイ;つみ,guilt;sin;crime;fault;blame;offense;culpabilité;péché;crime;faute;responsabilité;délit;culpabilidad;pecado;delito;crimen;defecto;culpa;culpa;pecado;crime;falta;ofensa,
財,8ca1,1-26-66,,,154,5,10,494,2,cai2;jae;재;Tài;ザイ;サイ;ゾク;たから,property;money;wealth;assets;propriété;argent;fortune;actifs;propiedad;dinero;riqueza;fortuna;activos;propriedade;dinheiro;riqueza;bens,
冴,51b4,1-26-67,,,15,9,7,2341,1,hu4;ho;호;Hộ;ゴ;コ;さ.える;こお.る;ひ.える,be clear;serene;cold;skilful;congelarse bruscamente,さえ;さえる
坂,5742,1-26-68,,,32,3,7,865,2,ban3;pan;판;Phản;ハン;さか,slope;incline;hill;pente;incliner;colline;cuesta;pendiente;rampa;inclinação;morro,か;ざ
阪,962a,1-26-69,,,170,4,7,503,,ban3;pan;판;Phản;ハン;さか,heights;slope;coteaux;pente;cuesta;pendiente;abreviación de Osaka,
堺,583a,1-26-70,,,32,9,12,1846,,jie4;gye;계;Giới;カイ;さかい,world;frontera;borde,
榊,698a,1-26-71,,,75,9,13,2094,,sin;신;Thần;さかき,sacred Shinto tree;(kokuji);árbol sakaki (árbol sagrado japonés),
肴,80b4,1-26-72,,,130,9,8,,,yao2;hyo;효;Hào;コウ;さかな,accompaniment for drinks;amuse-gueule;tapa;acompañamiento para la bebida,
咲,54b2,1-26-73,,,30,8,9,1534,2,xiao4;so;소;Tiếu;ショウ;さ.く;-ざき,blossom;bloom;fleurir;floraison;florecer;flor;florescimento,さ;さき
崎,5d0e,1-26-74,,,46,4,11,533,1,qi2;gi;기;Khi;キ;さき;さい;みさき,promontory;cape;spit;promontoire;cap;pointe;promontorio;cabo;espita;promontorio;cabo;ponta,
埼,57fc,1-26-75,,,32,4,11,971,,qi2;gi;기;Kì;Kỳ;キ;さき;さい;みさき,cape;spit;promontory;cap;promontoire;pointe;cabo;espita;promontorio,
碕,7895,1-26-76,,,112,,13,,,qi2;gi;기;Kì;Kỳ;キ;さき;さい;みさき,cape;spit;promontory,
鷺,9dfa,1-26-77,,,196,9,24,2172,,lu4;ro;로;Lộ;ロ;さぎ,heron,
作,4f5c,1-26-78,,,9,2,7,103,3,zuo1;zuo4;zuo2;jag;ja;ju;작;자;주;Tác;サク;サ;つく.る;つく.り;-づく.り,make;production;prepare;build;fabriquer;produire;construire;préparer;hacer;construir;fabricar;conducta;comportamiento;crear;fazer;produção;preparar;construção,くり;さか;さっ;づくり;とも;なお;はぎ;まさか
削,524a,1-26-79,,,18,8,9,814,1,xue1;xiao1;xue4;sag;삭;Tước;サク;けず.る;はつ.る;そ.ぐ,plane;sharpen;whittle;pare;shave;raboter;tailler;affiler;réduire;parer;supprimer;cepillo;cepillar;tallar;modelar;Avião;afiar;descascar;aparar,げ
咋,548b,1-26-80,,,30,,8,,,za3;ze2;zha1;zha4;sa;chaeg;saeg;사;책;색;Trách;Trá;サク;サ;か.む;く.う;くら.う,shout;chew;eat,くい
搾,643e,1-26-81,,,64,8,13,2046,1,zha4;chag;착;Trá;サク;しぼ.る,squeeze;presser;apretón;estrujón;presión;apretar;estrujar;comprimir;espremer,
昨,6628,1-26-82,,,72,4,9,226,2,zuo2;jag;작;Tạc;サク,yesterday;previous;hier;précédent;~ dernière;ayer;previo;anterior;ontem;prévio;anterior,
朔,6714,1-26-83,,,74;130,9,10,2318,1,shuo4;sag;삭;Sóc;サク;ついたち,conjunction (astronomy);first day of month;north;primer día del calendario lunar;dirección norte;calendario,たち
柵,67f5,1-26-84,,,75,8,9,,,zha4;chaeg;책;Sách;サク;サン;しがら.む;しがらみ;とりで;やらい,stockade;fence;weir;entwine around,ませ;やな
窄,7a84,1-26-85,,,116,9,10,,,zhai3;ze2;chag;착;Trách;サク;すぼ.める;つぼ.める;せま.い,narrow;fold;furl;shrug;pucker;shut;close,
策,7b56,1-26-86,,,118,6,12,209,1,ce4;chaeg;책;Sách;サク,scheme;plan;policy;step;means;moyen;plan;stratégie;politique;projet;mesures;esquema;plan;estrategia;esquema;plano;política;passo;meios,
索,7d22,1-26-87,,,120;24,8,10,1127,1,suo3;sag;saeg;삭;색;Tác;Sách;サク,cord;rope;searching;inquiring;câble;corde;chercher (index);soga;cordón;cuerda;buscar;disperso;corda;cabo,
錯,932f,1-26-88,,,167,8,16,1740,1,cuo4;cu4;chag;jo;착;조;Thác;サク;シャク,confused;mix;be in disorder;embrouillé;confus;complexe;mélange;confundirse;mezclarse;equivocarse;estar desordenado;confundir;mistura;está em desordem,
桜,685c,1-26-89,,,75,5,10,1237,1,ying1;aeng;앵;Tí;Tý;オウ;ヨウ;さくら,cherry;cerisier du Japon;cerezo;flor de cerezo;cerejeira,さ;ろう
鮭,9bad,1-26-90,,,195,,17,2477,,gui1;hae;gyu;해;규;Khuê;Hài;カイ;ケイ;さけ;しゃけ;ふぐ,salmon;salmón,
笹,7b39,1-26-91,,,118,9,11,1743,1,se;세;Thế;ささ,bamboo grass;(kokuji);pousse de bambou;hierba de bambú,さ;さき;しの;じね
匙,5319,1-26-92,,,21;72,,11,,,chi2;shi5;si;시;Thi;シ;さじ,spoon,
冊,518a,1-26-93,,,13;2,6,5,1313,2,ce4;chaeg;책;Sách;Sạch;サツ;サク;ふみ,tome;counter for books;volume;tome;volume;compteur de livres;tomo;volumen;contador para libros;tome;sufixo para contagem de para livros;volume,
刷,5237,1-26-94,,,18;4,4,8,1352,2,shua1;shua4;swae;쇄;Xoát;Loát;サツ;す.る;-ず.り;-ずり;は.く,printing;print;brush;imprimer;impression;impreso;estampado;imprimir;impressão;imprimir,
察,5bdf,1-27-01,,,40,4,14,477,2,cha2;chal;찰;Sát;サツ,guess;presume;surmise;judge;understand;deviner;présumer;supposer;juger;comprendre;adivinar;suponer;percibir;convidado;presumir;conjecturar;juiz;compreender,
拶,62f6,1-27-02,,,64,8,9,,,zan3;za1;chal;찰;Tạt;サツ;せま.る,be imminent;draw close;acercarse;ser inminente,
撮,64ae,1-27-03,,,64,8,15,1023,1,cuo1;zuo3;cuo4;chwal;촬;Toát;サツ;と.る;つま.む;-ど.り,snapshot;take pictures;photographier;recoger;tomar fotos;instantâneo;tirar fotos,
擦,64e6,1-27-04,,,64,8,17,1485,1,ca1;chal;찰;Sát;サツ;す.る;す.れる;-ず.れ;こす.る;こす.れる,grate;rub;scratch;scrape;chafe;scour;abrasion;gratter;frotter;râper;racler;irriter;récurer;frotar;restregar;rascar;raspar;arranhar;esfregar;coçar;escovar;atritar;explorar,
札,672d,1-27-05,,,75,4,5,921,2,zha2;chal;찰;Trát;サツ;ふだ,tag;paper money;counter for bonds;placard;bid;étiquette;billet de banque;compteur d'obligations;affiche;offre;etiqueta;papel moneda;billete;tarjeta señal;etiqueta;dinheiro de papel;número de contratos;letreiro;oferta,さっ
殺,6bba,1-27-06,,,79,5,10,581,2,sha1;shai4;sal;soe;살;쇠;Sát;Sái;Tát;サツ;サイ;セツ;ころ.す;-ごろ.し;そ.ぐ;あや.める,kill;murder;butcher;slice off;split;diminish;reduce;spoil;tuer;meurtre;massacrer;abattre;trancher;fendre;diminuer;réduire;gâcher;matar;quitar la vida;matar;assassinato;açougueiro;fatiar;partir;diminuir;reduzir;corromper,
薩,85a9,1-27-07,,,140,9,17,1984,,sa4;sal;살;Tát;サツ;サチ,salvation;Buddha;Buda;sonido 'satsu' en sánscrito,さっ
雑,96d1,1-27-08,,,172,5,14,839,2,za2;jab;잡;Tạp;ザツ;ゾウ;まじ.える;まじ.る,miscellaneous;divers;misceláneo;varios;mezclado;basto;tosco;misto,
皐,7690,1-27-09,,,106,9,11,2240,1,gao1;go;ho;고;호;Cao;コウ;さつき,swamp;shore;fifth month;pantano;orilla,たかし
鯖,9bd6,1-27-10,,,195,,19,,,qing1;zheng1;cheong;청;Chinh;Thinh;セイ;ショウ;さば,mackerel;caballa,
捌,634c,1-27-11,,,64,,10,,,ba1;pal;팔;Bát;ハツ;ハチ;ベツ;さば.く;さば.ける;は.け,handle;deal with;dispose of;sell;be in demand;be worldly;be frank;be sensible;be sociable;drainage;sale;demand for;eight,
錆,9306,1-27-12,,,167,9,16,,,qiang1;chang;cheong;창;청;Sanh;Thương;Thanh;Xanh;ショウ;セイ;さび;くわ.しい,rust;tarnish,
鮫,9bab,1-27-13,,,195,,17,2244,,jiao1;gyo;교;Giao;コウ;さめ;みずち,shark;tiburón,
皿,76bf,1-27-14,,,108,3,5,1812,2,min3;myeong;명;Mãnh;ベイ;さら,dish;a helping;plate;assiette;plat;portion;plato;Prato(tipo);porção;prato (objeto),
晒,6652,1-27-15,,,72,9,10,,,shai4;swae;쇄;Sái;サイ;シ;さら.す;さらし,bleach;refine;expose;air,
三,4e09,1-27-16,,,1,1,3,14,4,san1;sam;삼;Tam;Tám;サン;ゾウ;み;み.つ;みっ.つ,three;trois;tres;3;três,か;さ;さい;さえ;さぶ;ざ;ざえ;ざぶ;そう;ぞ;ただ;みつ;みん;も;や
傘,5098,1-27-17,,,9,8,12,1694,1,san3;san;산;Tản;サン;かさ,umbrella;parapluie;paraguas;parasol;toldo;guarda-chuva,
参,53c2,1-27-18,,,28,4,8,201,2,can1;cen1;shen1;sam;cham;삼;참;Sâm;Tam;Tảm;Tham;Xam;Khươm;サン;シン;まい.る;まい-;まじわる;みつ,nonplussed;three (in documents);going;coming;visiting;visit;be defeated;die;be madly in love;participate;take part in;dérouté;déconcerté;trois (III);aller;venir;visiter;être battu;mourir;follement amoureux;visita;asistencia;consulta;derrota;ir;venir;visitar [humilde];asistir;ser derrotado;confuso;visitando;visitar;derrotar;dados;apaixonados,み
山,5c71,1-27-19,,,46,1,3,131,4,shan1;san;산;San;Sơn;サン;セン;やま,mountain;montagne;montaña;montanha,さ;やの;やん
惨,60e8,1-27-20,,,61,8,11,1463,1,can3;can4;cham;chim;참;침;Thảm;Thom;サン;ザン;みじ.め;いた.む;むご.い,wretched;disaster;cruelty;harsh;choquant;misérable;désastre;cruauté;rude;cruel;horrible;desastroso;desprezível;desastre;crueldade;severo,
撒,6492,1-27-21,,,64,9,15,,,sa3;sa1;sal;살;Tát;Tản;サン;サツ;ま.く,scatter;sprinkle;give them the slip,
散,6563,1-27-22,,,66,4,12,758,2,san4;san3;san;산;Tán;Tản;サン;ち.る;ち.らす;-ち.らす;ち.らかす;ち.らかる;ち.らばる;ばら;ばら.ける,scatter;disperse;spend;squander;disperser;éparpiller;dépenser;gaspiller;esparcir;dispersar;derramar;caer;esparcirse;estar desordenado;dispersar;espalhar;gastar;dissipar,ちる
桟,685f,1-27-23,,,75,8,10,2093,1,zhan4;jan;잔;San;サン;セン;かけはし,scaffold;cleat;frame;jetty;bolt (door);échafaudage;traverse;cadre (shoji);jetée;quai;pont;verrou;travesaño;armazón;muelle;embarcadero;andaime;ripa;moldura;cais;ferrolho (porta),さ
燦,71e6,1-27-24,,,86,9,17,,1,can4;chan;찬;Xán;サン;さん.たる;あき.らか;きらめ.く;きら.めく,brilliant;brillante,
珊,73ca,1-27-25,,,96,9,9,,,shan1;san;산;San;サン;センチ;さんち,coral;centimeter,
産,7523,1-27-26,,,100;117,4,11,161,3,chan3;san;산;Sản;Sẵn;Sởn;サン;う.む;う.まれる;うぶ-;む.す,products;bear;give birth;yield;childbirth;native;property;production;porter (fruits);donner naissance;produire;natal;propriété;producto;producir;propiedad;dar a luz;nacer;produtos;dar a luz;nascer;dar crias;nascimento;nativo;bens,もと
算,7b97,1-27-27,,,118,2,14,361,2,suan4;san;산;Toán;サン;そろ,calculate;divining;number;abacus;probability;calculer;prédire;nombre;abaque (boulier);probabilité;cálculo;cómputo;expectativas;calcular;advinhar;número;ábaco;probabilidade,
纂,7e82,1-27-28,,,120;118,9,20,,,zuan3;chan;찬;Toản;サン;あつ.める,editing;compiling,
蚕,8695,1-27-29,,,142;1,6,10,2272,1,tian3;can2;cheon;jam;천;잠;Tàm;サン;テン;かいこ;こ,silkworm;ver à soie;gusano de seda;bicho-da-seda,
讃,8b83,1-27-30,,,149,9,22,2179,,zan4;chan;찬;Tán;サン;ほ.める;たた.える,praise;title on a picture;alabanza;elogio;placa de un cuadro;alabar;elogiar,さぬ
賛,8cdb,1-27-31,,,154,5,15,868,2,zan4;chan;찬;Tán;サン;たす.ける;たた.える,approve;praise;title or inscription on picture;assist;agree with;approuver;accord;louanges;assister;inscription sur une peinture;admirar;alabar;elogiar;ayudar;consentir;aprobar;aprovar;elogiar;título ou inscrição em gravura;auxiliar;concordar com,
酸,9178,1-27-32,,,164,5,14,1218,1,suan1;san;산;Toan;サン;す.い,acid;bitterness;sour;tart;acide;aigre;amer;sur (goût);ácido;agrio;ácido;amargo;azedo;picante,
餐,9910,1-27-33,,,184,,16,,,can1;chan;son;찬;손;Xan;サン;ソン;の.む;くら.う,eat;drink;swallow,
斬,65ac,1-27-34,,,69;159,8,11,2132,,zhan3;cham;참;Trảm;ザン;サン;セン;ゼン;き.る,beheading;kill;murder;cortar;decapitar;matar (a espada),
暫,66ab,1-27-35,,,72,8,15,1112,1,zan4;zhan4;jam;잠;Tạm;ザン;しばら.く,temporarily;a while;moment;long time;un certain temps;temporaire;un moment;depuis longtemps;por poco tiempo;un rato;un momento;temporariamente;por enquanto;momento;tempo longo,
残,6b8b,1-27-36,,,78,4,10,380,2,can2;jan;잔;Tàn;ザン;サン;のこ.る;のこ.す;そこな.う;のこ.り,remainder;leftover;balance;reste;solde (compte);resto;balance;quedar;dejar;restante;restos;balança,
仕,4ed5,1-27-37,,,9,3,5,439,3,shi4;sa;사;Sĩ;シ;ジ;つか.える,attend;doing;official;serve;servir;faire;officiel;trabajo;servir;asistir;atender;ação;oficial;servir,
仔,4ed4,1-27-38,,,9,9,5,,,zi3;zai3;ja;자;Tử;Tể;シ;こ;た.える,offspring (animal);detailed;fine,
伺,4f3a,1-27-39,,,9,8,7,2209,2,si4;ci4;sa;사;Tý;Tứ;シ;うかが.う,pay respects;visit;ask;inquire;question;implore;visiter (hon);présenter ses respects;demander;s'informer;questionner;implorer;hacer una visita;preguntar por;retribuir visita;perguntar;indagar;implorar,
使,4f7f,1-27-40,,,9,3,8,219,3,shi3;shi4;sa;사;Sử;Sứ;シ;つか.う;つか.い;-つか.い;-づか.い,use;send on a mission;order;messenger;envoy;ambassador;cause;utiliser;usar;manejar;emplear;Uso;usar,
刺,523a,1-27-41,,,18,8,8,1031,2,ci4;ja;cheog;자;척;Thứ;Thích;シ;さ.す;さ.さる;さ.し;さし;とげ,thorn;pierce;stab;prick;sting;calling card;piquer;coudre;enfoncer;percer;tailler;épine;carte de visite;espina;punzar;pinchar;apuñalar;tarjeta de visita;espinho;furar;esfaquear;picar;picar cartão,
司,53f8,1-27-42,,,30,4,5,759,2,si1;sa;사;Ti;Tư;シ;つかさど.る,director;official;govt office;rule;administer;directeur;fonctionnaire;bureau administratif;gouverner;administrer;dirigir;gobernar;ordenar;diretor;oficial;escritório do govt;regra;administrar,つ;つか;つかさ
史,53f2,1-27-43,,,30;2,5,5,511,2,shi3;sa;사;Sử;シ,history;chronicle;histoire;chronique;historia;crónica;história;crônica,あきら;あや;お;こ;ちか;とし;なか;のぶ;ひさ;ひと;ふみ
嗣,55e3,1-27-44,,,30,8,13,2310,1,si4;sa;사;Tự;シ,heir;succeed;héritier;succéder;heredero;sucesor;herdeiro;é bem-sucedido,あき;つかさ;つぎ;つぐ;ひで
四,56db,1-27-45,,,31,1,5,47,4,si4;sa;사;Tứ;シ;よ;よ.つ;よっ.つ;よん,four;quatre;cuatro;4;quatro,あ;つ;よつ
士,58eb,1-27-46,,,33,5,3,526,1,shi4;sa;사;Sĩ;シ;さむらい,gentleman;scholar;samurai;samurai radical (no. 33);gentilhomme;samouraï;radical samouraï (no. 33);caballero;samurai;hombre;cavalheiro;samurai,お;ま
始,59cb,1-27-47,,,38,3,8,244,3,shi3;si;시;Thủy;Thí;シ;はじ.める;-はじ.める;はじ.まる,commence;begin;commencer;débuter;comenzar;empezar;empezar (trans.);empezar (intrans.);iniciar;começar,もと
姉,59c9,1-27-48,,,38,2,8,1473,3,zi3;ja;자;Tỉ;Tỷ;Chị;シ;あね;はは,elder sister;soeur aînée;hermana mayor;irmã mais velha,
姿,59ff,1-27-49,,,38,6,9,441,1,zi1;ja;자;Tư;シ;すがた,figure;form;shape;silhouette;forme;aspect;figura;forma;apariencia;figura;formulário;forma,しな
子,5b50,1-27-50,,,39,1,3,72,4,zi3;zi2;zi5;ja;자;Tử;Tý;シ;ス;ツ;こ;-こ;ね,child;sign of the rat;11PM-1AM;first sign of Chinese zodiac;enfant;signe de la 1ère branche terrestre;signe du Rat (zodiaque);23 h à 01 h;Nord (0°);chiquillo;niño;criança,い;き;ぎ;く;け;ねっ
屍,5c4d,1-27-51,,,44,,9,,,shi1;si;시;Thi;シ;しかばね,corpse,
市,5e02,1-27-52,,,50;8,2,5,42,3,shi4;si;시;Thị;シ;いち,market;city;town;marché;ville;cité;mercado;ciudad;mercado;cidade,い;ち
師,5e2b,1-27-53,,,50;2,5,10,563,2,shi1;sa;사;Sư;シ;いくさ,expert;teacher;master;model;exemplar;army (incl. counter);war;maître;expert;professeur;exemplaire;modèle;armée;guerre;maestro;profesor;experto;técnico;perito;professor;mestre;exército;guerra,のし;のり;もろ;かず;つかさ;みつ;もと
志,5fd7,1-27-54,,,61;32,5,7,823,2,zhi4;ji;지;Chí;シ;シリング;こころざ.す;こころざし,intention;plan;resolve;aspire;motive;hopes;shilling;dessein;intention;plan;motif;aspirer à;résolution;espoirs;shilling;intención;deseo;aspiración;ambición;aspirar;desear;voluntad;intenção;plano;resolver;aspirar;motivo;esperanças;shilling (din.),じん;べ;べし;ゆき
思,601d,1-27-55,,,61;102,2,9,132,3,si1;sai1;sa;사;Tư;Tứ;Tai;シ;おも.う;おもえら.く;おぼ.す,think;penser;pensar;considerar;pensar,
指,6307,1-27-56,,,64,3,9,155,2,zhi3;zhi1;ji;지;Chỉ;シ;ゆび;さ.す;-さ.し,"finger;point to;indicate;put into;play (chess);measure (ruler);doigt;désigner;indiquer;jouer (échecs);mesure (règle, mètre);dedo;apuntar;señalar;dedo;apontar para;indicar;colocar dentro;jogo (xadrez);medida (governantal)",い;いぶ;さし;さす
支,652f,1-27-57,,,65,5,4,159,2,zhi1;ji;지;Chi;シ;ささ.える;つか.える;か.う,branch;support;sustain;branch radical (no. 65);soutien;support;branche;filiale;succursale;radical branche (no. 65);soporte;apoyo;rama;pago;interferencia;soportar;sostener;ramo;apoio;sustentar,
孜,5b5c,1-27-58,,,39,9,7,1457,,zi1;ja;자;Tư;シ;つと.める,industriousness,
斯,65af,1-27-59,,,69,9,12,,,si1;sa;사;Tư;シ;か;こう;か.く;この;これ;ここに,this;thus;such;verbal pause,
施,65bd,1-27-60,,,70,8,9,323,1,shi1;si;i;시;이;Thi;Thí;Dị;Thỉ;シ;セ;ほどこ.す,give;bestow;perform;alms;donner;aumône;poser des bandages;administrer 1ers secours;distribuir;dar limosnas;administrar primeros auxilios;esmola;aplicar ataduras;adminatração de 1º socorros,
旨,65e8,1-27-61,,,72;21,8,6,1166,1,zhi3;ji;지;Chỉ;シ;むね;うま.い,delicious;relish;show a liking for;purport;will;clever;expert;délicieux;très bien;savoureux;avoir un penchant pour;portée;volonté;intelligent;expert;principio;idea;significado;delicioso;habilidoso;es decir;delicioso;sabor;mostra um gosto para;vontade;inteligente;perito,
枝,679d,1-27-62,,,75,5,8,1401,2,zhi1;qi2;ji;지;Chi;Kỳ;シ;えだ,bough;branch;twig;limb;counter for branches;branche;rameau;brindille;compteur de branches;rama;bifurcación;ramagem;ramo;galho;tronco,え;ぐさ
止,6b62,1-27-63,,,77,2,4,310,3,zhi3;ji;지;Chỉ;シ;と.まる;-ど.まり;と.める;-と.める;-ど.め;とど.める;とど.め;とど.まる;や.める;や.む;-や.む;よ.す;-さ.す;-さ.し,stop;halt;arrêter;cesser;parar;cesar;dejar de hacer;detenerse;pararse;detener;parada,どめ
死,6b7b,1-27-64,,,78,3,6,229,3,si3;sa;사;Tử;シ;し.ぬ;し.に-,death;die;mort;mourir;muerte;morir;morte;dados,
氏,6c0f,1-27-65,,,83,4,4,84,1,shi4;zhi1;ssi;ji;씨;지;Thị;Chi;シ;うじ;-うじ,family name;surname;clan;nom de famille;nom;clan;Monsieur;apellido;clan;señor;nome de família;sobrenome;clã,
獅,7345,1-27-66,,,94,9,13,1914,,shi1;sa;사;Sư;シ;しし,lion;león,
祉,7949,1-27-67,,,113,8,8,1063,1,zhi3;ji;지;Chỉ;シ,welfare;happiness;bien-être;bonheur;bienestar;felicidad;bendición;bem-estar;felicidade,
私,79c1,1-27-68,,,115,6,7,242,3,si1;sa;사;Tư;シ;わたくし;わたし,private;I;me;privé;je;moi;yo;privado;secreto;particular;Eu;me,
糸,7cf8,1-27-69,,,120,1,6,1488,2,mi4;sa;사;Mịch;シ;いと,thread;fil;hilo;hebra;cuerda;contexto,
紙,7d19,1-27-70,,,120,2,10,559,3,zhi3;ji;지;Chỉ;シ;かみ,paper;papier;papel;periódico;Papel,
紫,7d2b,1-27-71,,,120,8,12,1516,1,zi3;ja;자;Tử;シ;むらさき,purple;violet;violet;púrpura;violeta;roxo;violeta,さい;ゆかり
肢,80a2,1-27-72,,,130,8,8,2289,1,zhi1;ji;지;Chi;シ,limb;arms & legs;membre;bras et jambes;extremidades;brazos y piernas;membros;braços & pernas,
脂,8102,1-27-73,,,130,8,10,1548,2,zhi1;ji;지;Chi;シ;あぶら,fat;grease;tallow;lard;rosin;gum;tar;gras;graisse;suif;lard;résine;gomme;goudron;grasa;sebo;resina;gordura;graxa;sêbo;banha;resina;goma;asfalto,
至,81f3,1-27-74,,,133,6,6,996,1,zhi4;ji;지;Chí;シ;いた.る,climax;arrive;proceed;reach;attain;result in;aboutissement;paroxysme;solstice;atteindre;arriver à;direction;résultat;llegar;alcanzar;apogeo;clímax;clímax;chegar;continuar;alcançar;atingir;resultar em,のぶ;のり;みち;よし
視,8996,1-27-75,,,147;113,6,11,362,1,shi4;si;시;Thị;シ;み.る,inspection;regard as;see;look at;inspection;point de vue;voir;regarder;inspeccionar;mirar con cuidado;considerar;inspeção;avaliar;ver;olhar,とも;み
詞,8a5e,1-27-76,,,149,6,12,1636,2,ci2;sa;사;Từ;シ;ことば,part of speech;words;poetry;partie du discours;mots;poésie;parte de oración;palabras;poesía;parte de discurso;palavras;poesia,
詩,8a69,1-27-77,,,149,3,13,1196,1,shi1;si;시;Thi;シ;うた,poem;poetry;poème;poésie;poema;poesía;poema;poesia,
試,8a66,1-27-78,,,149,4,13,392,3,shi4;si;시;Thí;シ;こころ.みる;ため.す,test;try;attempt;experiment;ordeal;test;essai;tentative;expérience;épreuve;prueba;ensayo;experimento;probar;experimentar;intentar;teste;tentativa;testar;experimento;prova,
誌,8a8c,1-27-79,,,149,6,14,851,2,zhi4;ji;지;Chí;シ,document;records;document;dossier;documento;escrito;revista;Documentos;registros,
諮,8aee,1-27-80,,,149,8,16,1345,1,zi1;ja;자;Ti;Tư;シ;はか.る,consult with;consulter;consulta;consejo;consultar con;pedir consejo;Consultar-se,
資,8cc7,1-27-81,,,154,5,13,179,2,zi1;ja;자;Tư;シ,assets;resources;capital;funds;data;be conducive to;contribute to;capital (argent);fonds;actifs;ressources;données;favorable à;contribuer à;recurso;capital;naturaleza;posición social;bens;recursos;capital;fundos;dados;se levado a;contribuir para,すけ;もと
賜,8cdc,1-27-82,,,154,8,15,2190,1,si4;ci4;sa;사;Tứ;シ;たまわ.る;たま.う;たも.う,grant;gift;boon;results;gratifier;bourse (subvention);cadeau;faveur;résultats;otorgar;conceder;concessão;presente;vantagem;resultados,
雌,96cc,1-27-83,,,172;77,8,14,1951,1,ci2;ci1;ja;자;Thư;シ;め-;めす;めん,feminine;female;femelle;hembra;femenino;feminino;fêmea,
飼,98fc,1-27-84,,,184,5,13,1392,1,si4;sa;사;Tự;シ;か.う,domesticate;raise;keep;feed;domestiquer;élever;garder;nourrir;criar;mantener;tener animales;domesticar;levantar;guardar;alimentar,かい
歯,6b6f,1-27-85,,,77;211,3,12,1106,2,chi3;chi;치;Xỉ;シ;よわい;は;よわ.い;よわい.する,tooth;cog;dent;dentée (roue);crémaillère (rail);diente;diente de engranaje;dentes;dentes de engrenagens,
事,4e8b,1-27-86,,,6,3,8,18,3,shi4;sa;사;Sự;ジ;ズ;こと;つか.う;つか.える,matter;thing;fact;business;reason;possibly;fait;chose;matière;affaire;raison;peut-être;cosa;hecho;asunto;acción;matéria;coisa;fato;negócios;razão;possivelmente,ろ
似,4f3c,1-27-87,,,9,5,7,923,2,si4;shi4;sa;사;Tự;ジ;に.る;ひ.る,becoming;resemble;counterfeit;imitate;suitable;ressembler;devenir;contrefaire;imiter;approprié;parecerse a;parecerse;ser similar;formação;lembra;falsificar;imitar;conveniente,にた
侍,4f8d,1-27-88,,,9,8,8,1939,1,shi4;si;시;Thị;ジ;シ;さむらい;はべ.る,waiter;samurai;wait upon;serve;serviteur;samouraï;servir;sirviente;criado;samurai;garçom;samurai;esperar sobre;servir,かみ
児,5150,1-27-89,,,10,4,7,679,2,er2;a;아;Nhi;ジ;ニ;ゲイ;こ;-こ;-っこ,newborn babe;child;young of animals;nouveau-né;enfant;petit d'animal;recién nacido;chiquillo;cría;recém-nascido;criança;filhote,る
