kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
悪,60aa,1-16-13,,,61;1,3.0,11,530.0,3.0,e4;e3;wu4;ag;o;악;오;Ác;Ố;Óc;アク;オ;わる.い;わる-;あ.し;にく.い;-にく.い;ああ;いずくに;いずくんぞ;にく.む,bad;vice;rascal;false;evil;wrong,
握,63e1,1-16-14,,,64,8.0,12,1003.0,1.0,wo4;ag;악;Ác;アク;にぎ.る,grip;hold;mould sushi;bribe,
渥,6e25,1-16-15,,,85,9.0,12,2257.0,1.0,wo4;ag;악;Ác;アク;あつ.い;うるお.う,kindness;moisten,あつし
旭,65ed,1-16-16,,,72,9.0,6,1417.0,1.0,xu4;ug;욱;Húc;キョク;あさひ,rising sun;morning sun,あきら;あき;てる;ひ
葦,8466,1-16-17,,,140,9.0,13,2343.0,,wei3;wi;위;Vi;イ;あし;よし;しお.れる;しな.びる;しぼ.む;な.える,reed;bullrush,
芦,82a6,1-16-18,,,140,9.0,7,1733.0,,lu2;lu3;ho;호;Lô;Lư;ロ;あし;よし,reed;bullrush,あ
鯵,9bf5,1-16-19,,,195,,19,,,sao1;so;소;Tham;ソウ;あじ,horse mackerel,
梓,6893,1-16-20,,,75,9.0,11,2301.0,1.0,zi3;jae;ja;재;자;Tử;シ;あずさ,catalpa tree;woodblock printing,
圧,5727,1-16-21,,,32;27,5.0,5,718.0,2.0,ya1;ya4;ab;압;Áp;Yểm;Yếp;アツ;エン;オウ;お.す;へ.す;おさ.える;お.さえる,pressure;push;overwhelm;oppress;dominate,
斡,65a1,1-16-22,,,68;24,9.0,14,,,wo4;al;gan;알;간;Oát;Quản;アツ;カン;ワツ;めぐ.る;めぐ.らす,go around;rule;administer,
扱,6271,1-16-23,,,64,8.0,6,1057.0,1.0,xi1;geub;sab;급;삽;Tráp;Hấp;ソウ;キュウ;あつか.い;あつか.う;あつか.る;こ.く,handle;entertain;thresh;strip,
宛,5b9b,1-16-24,,,40,8.0,8,,,wan3;yuan1;wan;weon;완;원;Uyển;Uyên;エン;あ.てる;-あて;-づつ;あたか.も,address;just like;fortunately,
姐,59d0,1-16-25,,,38,,8,,,jie3;jeo;저;Tả;Thư;ソ;シャ;あね;ねえさん,elder sister;maidservant,
虻,867b,1-16-26,,,142,,9,,,meng2;maeng;맹;Mang;Manh;Mông;ボウ;あぶ,gadfly;horsefly,
飴,98f4,1-16-27,,,184,,13,,,yi2;i;sa;이;사;Di;Tự;イ;シ;あめ;やしな.う,rice jelly;candy,
絢,7d62,1-16-28,,,120,9.0,12,2315.0,1.0,xuan4;hyeon;현;Huyến;ケン,brilliant fabric design,じゅん;あや
綾,7dbe,1-16-29,,,120,9.0,14,1759.0,1.0,ling2;reung;릉;Lăng;リン;あや,design;figured cloth;twill,りょう
鮎,9b8e,1-16-30,,,195,9.0,16,2201.0,1.0,nian2;jeom;점;Niêm;デン;ネン;あゆ;なまず,freshwater trout;smelt,あい
或,6216,1-16-31,,,62,9.0,8,2378.0,,huo4;hog;혹;Hoặc;ワク;コク;イキ;あ.る;あるい;あるいは,some;one;or;possibly;a certain,
粟,7c9f,1-16-32,,,119;146,9.0,12,2146.0,,su4;sog;속;Túc;ゾク;ショク;ソク;あわ;もみ,millet,あ;さっ;そう
袷,88b7,1-16-33,,,145,,11,,,jia2;qia1;geob;gyeob;겁;겹;Giáp;Kiếp;Khiếp;コウ;キョウ;あわせ,lined (kimono),
安,5b89,1-16-34,,,40,3.0,6,144.0,4.0,an1;an;안;An;アン;やす.い;やす.まる;やす;やす.らか,relax;cheap;low;quiet;rested;contented;peaceful,あ;あす;あず;あっ;や
庵,5eb5,1-16-35,,,53,9.0,11,2119.0,,an1;am;암;Am;アン;いおり;いお,hermitage;retreat,あ;い;いほり
按,6309,1-16-36,,,64,9.0,9,,,an4;an;al;안;알;Án;アン;おさ.える;しら.べる,hold;consider;investigate,
暗,6697,1-16-37,,,72,3.0,13,1040.0,3.0,an4;am;암;Ám;アン;くら.い;くら.む;くれ.る,darkness;disappear;shade;informal;grow dark;be blinded,
案,6848,1-16-38,,,75;40,4.0,10,206.0,2.0,an4;an;안;Án;アン;つくえ,plan;suggestion;draft;ponder;fear;proposition;idea;expectation;worry;table;bench,
闇,95c7,1-16-39,,,169,8.0,17,1969.0,,an4;am;암;Ám;アン;オン;やみ;くら.い,get dark;gloom;disorder,
鞍,978d,1-16-40,,,177,9.0,15,2214.0,,an1;an;안;An;アン;くら,saddle,
杏,674f,1-16-41,,,75,9.0,7,2159.0,1.0,xing4;haeng;행;Hạnh;キョウ;アン;コウ;あんず,apricot,りょう
以,4ee5,1-16-42,,,9,4.0,5,126.0,3.0,yi3;i;이;Dĩ;イ;もっ.て,by means of;because;in view of;compared with,もち
伊,4f0a,1-16-43,,,9,9.0,6,703.0,1.0,yi1;i;이;Y;イ;かれ,Italy;that one,これ;ただ;よし;いと;だ
位,4f4d,1-16-44,,,9,4.0,7,276.0,2.0,wei4;wi;위;Vị;イ;くらい;ぐらい,rank;grade;throne;crown;about;some,ぞき
依,4f9d,1-16-45,,,9,8.0,8,906.0,2.0,yi1;eui;의;Y;Ỷ;イ;エ;よ.る,reliant;depend on;consequently;therefore;due to,よ;より
偉,5049,1-16-46,,,9,8.0,12,1639.0,2.0,wei3;wi;위;Vĩ;イ;えら.い,admirable;greatness;remarkable;conceited;famous;excellent,ひで
囲,56f2,1-16-47,,,31,5.0,7,771.0,2.0,wei2;wi;위;Vi;イ;かこ.む;かこ.う;かこ.い,surround;besiege;store;paling;enclosure;encircle;preserve;keep,
夷,5937,1-16-48,,,37;4,9.0,6,2324.0,,yi2;i;이;Di;イ;えびす;えみし;ころ.す;たい.らげる,barbarian;savage;Ainu,し
委,59d4,1-16-49,,,38;115,3.0,8,187.0,2.0,wei3;wei1;wi;위;Ủy;Uy;イ;ゆだ.ねる,committee;entrust to;leave to;devote;discard,まかせ
威,5a01,1-16-50,,,38;62,8.0,9,1103.0,1.0,wei1;wi;위;Uy;イ;おど.す;おど.し;おど.かす,intimidate;dignity;majesty;menace;threaten,いさ;たけ;たけし
尉,5c09,1-16-51,,,41;4,8.0,11,2007.0,1.0,wei4;yu4;wi;ul;위;울;Úy;Uất;イ;ジョウ,military officer;jailer;old man;rank,
惟,60df,1-16-52,,,61,9.0,11,2246.0,1.0,wei2;yu;유;Duy;イ;ユイ;おも.んみる;これ;おも.うに,consider;reflect;think,ただ;よし;のぶ
意,610f,1-16-53,,,61;180,3.0,13,99.0,3.0,yi4;eui;의;Ý;イ,idea;mind;heart;taste;thought;desire;care;liking,もと;よし
慰,6170,1-16-54,,,61,8.0,15,1158.0,1.0,wei4;wi;위;Úy;イ;なぐさ.める;なぐさ.む,consolation;amusement;seduce;cheer;make sport of;comfort;console,
易,6613,1-16-55,,,72,5.0,8,571.0,2.0,yi4;yeog;i;역;이;Dịch;Dị;エキ;イ;やさ.しい;やす.い,easy;ready to;simple;fortune-telling;divination,
椅,6905,1-16-56,,,75,8.0,12,2245.0,,yi3;yi1;eui;의;Y;Ỷ;イ,chair,
為,70ba,1-16-57,,,86;3,8.0,9,831.0,1.0,wei4;wei2;wi;위;Vi;イ;ため;な.る;な.す;す.る;たり;つく.る;なり,do;change;make;benefit;welfare;be of use;reach to;try;practice;cost;serve as;good;advantage;as a result of,びい
畏,754f,1-16-58,,,102,8.0,9,2389.0,,wei4;oe;외;Úy;イ;おそ.れる;かしこま.る;かしこ;かしこ.し,fear;majestic;graciously;be apprehensive,
異,7570,1-16-59,,,102,6.0,11,631.0,2.0,yi4;i;이;Dị;イ;こと;こと.なる;け,uncommon;different;queerness;strangeness;wonderful;curious;unusual,
移,79fb,1-16-60,,,115,5.0,11,448.0,2.0,yi2;i;이;Di;Dị;Sỉ;イ;うつ.る;うつ.す,"shift;move;change;drift;catch (cold, fire);pass into",
維,7dad,1-16-61,,,120,8.0,14,643.0,1.0,wei2;yu;유;Duy;イ,fiber;tie;rope,これ;たもつ;つぐ;ゆい;ゆき
緯,7def,1-16-62,,,120,8.0,16,1430.0,1.0,wei3;wi;위;Vĩ;イ;よこいと;ぬき,horizontal;woof;left & right;(parallels of) latitude;prediction,
胃,80c3,1-16-63,,,130;102,6.0,9,1647.0,2.0,wei4;wi;위;Vị;イ,stomach;paunch;crop;craw,
萎,840e,1-16-64,,,140,8.0,11,,,wei1;wei3;wi;위;Nuy;イ;な;しお.れる;しな.びる;しぼ.む;な.える,wither;droop;lame,
衣,8863,1-16-65,,,145,4.0,6,1214.0,2.0,yi1;yi4;eui;의;Y;Ý;イ;エ;ころも;きぬ;-ぎ,garment;clothes;dressing,
謂,8b02,1-16-66,,,149,9.0,16,,,wei4;wi;위;Vị;イ;い.う;いい;おも.う;いわゆる,reason;origin;history;oral tradition,
違,9055,1-16-67,,,162,8.0,13,344.0,2.0,wei2;wi;위;Vi;イ;ちが.う;ちが.い;ちが.える;-ちが.える;たが.う;たが.える,difference;differ,
遺,907a,1-16-68,,,162,6.0,15,647.0,1.0,yi2;wei4;yu;유;Di;Dị;イ;ユイ;のこ.す,bequeath;leave behind;reserve,
医,533b,1-16-69,,,23;22,3.0,7,437.0,3.0,yi1;ye;eui;예;의;Ế;Y;Ỷ;I;Ỉ;イ;い.やす;い.する;くすし,doctor;medicine,
井,4e95,1-16-70,,,7;4,4.0,4,339.0,1.0,jing3;jeong;정;Tỉnh;セイ;ショウ;い,well;well crib;town;community,いの;さい;ひ
亥,4ea5,1-16-71,,,8,9.0,6,,1.0,hai4;hae;해;Hợi;ガイ;カイ;い,sign of the hog;9-11PM;twelfth sign of the Chinese zodiac,り
域,57df,1-16-72,,,32,6.0,11,396.0,2.0,yu4;yeog;역;Vực;イキ,range;region;limits;stage;level,
育,80b2,1-16-73,,,130;8,3.0,8,369.0,2.0,yu4;yug;육;Dục;イク;そだ.つ;そだ.ち;そだ.てる;はぐく.む,bring up;grow up;raise;rear,やす
郁,90c1,1-16-74,,,163,9.0,9,1920.0,1.0,yu4;ug;욱;Úc;イク,cultural progress;perfume,あや;かおる;い;か;ふみ;ゆう
磯,78ef,1-16-75,,,112,9.0,17,1444.0,1.0,ji1;gi;기;Ki;キ;いそ,seashore;beach,し;そ
一,4e00,1-16-76,,,1,1.0,1,2.0,4.0,yi1;il;일;Nhất;イチ;イツ;ひと-;ひと.つ,one;one radical (no.1),かず;い;いっ;いる;かつ;かづ;てん;はじめ;ひ;ひとつ;まこと
壱,58f1,1-16-77,,,33;32,8.0,7,2351.0,1.0,yi1;il;일;Nhất;イチ;イツ;ひとつ,one (in documents),い;かず
溢,6ea2,1-16-78,,,85,9.0,13,2405.0,,yi4;il;일;Dật;イツ;こぼ.れる;あふ.れる;み.ちる,overflow;inundate;spill,
逸,9038,1-16-79,,,162,8.0,11,1524.0,1.0,yi4;il;일;Dật;イツ;そ.れる;そ.らす;はぐ.れる,deviate;idleness;leisure;miss the mark;evade;elude;parry;diverge,いっ;はや;へん
稲,7a32,1-16-80,,,115,8.0,14,1038.0,1.0,dao4;do;도;Đạo;トウ;テ;いね;いな-,rice plant,いの;しね;せ;な
茨,8328,1-16-81,,,140,4.0,9,1203.0,,ci2;ja;자;Tỳ;シ;ジ;いばら;かや;くさぶき,briar;thorn,あし;えばら;ばら;まつ;まん
芋,828b,1-16-82,,,140,8.0,6,2418.0,1.0,yu4;u;hu;우;후;Dụ;Hu;ウ;いも,potato,
鰯,9c2f,1-16-83,,,195,9.0,21,,,ruo4;yag;약;Nhược;いわし,sardine;(kokuji),
允,5141,1-16-84,,,10;28,9.0,4,2358.0,1.0,yun3;yun;윤;Duẫn;イン;じょう;まこと.に;ゆるす,license;sincerity;permit,まこと;のぶ;まさ;みつ;すけ;よし;ちか;とも
印,5370,1-16-85,,,26;2,4.0,6,682.0,2.0,yin4;in;인;Ấn;イン;しるし;-じるし;しる.す,stamp;seal;mark;imprint;symbol;emblem;trademark;evidence;souvenir;India,
咽,54bd,1-16-86,,,30,8.0,9,,,yan1;yan4;ye4;in;yeol;인;열;Yết;Yến;Ế;イン;エン;エツ;むせ.ぶ;むせ.る;のど;の.む,throat;choked;smothered;stuffy,
